,target
29,106.00658185345586
535,-109.32044742246686
695,116.28684368429599
557,31.66720800851577
836,74.90804886223313
596,141.71745326357077
165,67.27729672207028
918,-232.8346294282763
495,-9.224783278309692
824,246.20618526923633
65,-1.760072115242397
141,-62.664863764946226
925,-85.82822411575474
827,13.42804876223825
655,-139.49596906211738
331,-187.06532148369521
664,-59.28942446019404
249,-25.739988950162548
907,-192.50409211561052
708,-23.780498758670515
305,-12.89046765066983
734,119.80991751354082
975,23.50086613210657
49,-149.41626231040615
896,-208.50559292631445
2,-60.70878546104523
544,19.244977888970684
350,113.88616092402553
904,-118.94533676326137
536,-371.44813800166617
344,55.4708108665055
994,-133.9421030009582
481,284.22780374906057
575,183.95181093434698
33,-32.424114539655406
31,-83.89439950200111
231,-30.332734122552758
963,-32.303391032061256
192,-164.6656011986233
333,342.41113763245613
3,-99.46521737510773
204,70.2235587537122
514,-122.0026516896951
799,-62.249854829189346
306,-225.00010659511582
109,-119.08467027037017
430,-164.6471518798776
77,-5.094546362913423
84,190.15441437467373
286,-106.86489123248195
82,-170.0005682276408
991,-140.26236593035262
789,24.292689341514865
894,164.38110983396024
398,-148.84597131205123
323,-122.07454096569951
519,43.02198752136672
916,159.16509992143682
922,142.80896042786864
5,71.90584124276184
731,139.93004583746344
465,14.170705304239695
97,-12.011016381497456
266,13.81339916952561
357,48.52629281133707
868,-181.44365399933363
798,6.783517540456785
380,236.415108608287
631,-286.23255501201885
381,139.61704579890105
490,-11.527264824994916
118,-103.67119013166413
900,-93.9288335092093
250,-56.84611073156721
523,18.05366262483637
9,-271.67766463601714
196,128.54241151235234
603,64.63179117309362
81,-171.65029627518786
783,115.4378817416311
587,138.2437080975317
797,-157.7520602008539
239,-34.29215484655883
290,-129.1729436665746
211,93.70143833312908
717,-107.35347409513355
359,29.98454251613945
449,-232.4118958624142
227,-39.75481023143575
950,-45.898211185247796
946,-321.41737563362074
796,-78.83621845340859
501,-16.914668949751587
464,-68.26787588803215
362,-460.0347257578785
468,-83.16002519289108
935,91.58696902321144
428,-56.25247630653151
7,168.1120555624668
155,-245.15576389021498
541,61.481036770285684
440,-21.226774780662158
482,-171.1694579026382
422,97.91991553974763
778,9.328869057447793
949,233.0998127591498
334,186.3495693506655
576,84.89250529871542
934,-0.9767311522176723
567,-38.18748013272667
594,-80.33000932734372
530,98.1084923842661
581,-89.84983694718639
707,65.91010390588383
448,195.0491878884788
453,-162.64550675377228
228,-125.9291672829054
352,-234.97938310275586
728,-4.37462688251159
212,-192.77164147329063
79,125.77260501156161
148,125.90610393790675
302,-53.563597552147684
628,-105.06540613106279
777,53.60954400534581
506,-184.67337536014392
342,-166.22278934429343
485,249.66794122267538
711,156.28568892277374
133,68.16283460236542
703,-57.70790155668585
311,256.4058599310574
722,-140.22791790572794
629,-13.881175153644273
0,258.24273244530167
316,-290.0357811944235
706,41.03019277279955
547,19.631881556640984
872,-140.57600990561377
532,-48.75121266267189
477,204.62233101102663
404,7.576057757003399
172,13.02019141419859
125,-176.12428385208852
394,-100.62325825625707
420,171.26809455206373
552,-76.29428265357923
903,128.27084263173285
90,123.4020335987653
939,-131.45714870443607
181,-256.07927041594616
274,-16.122546116214522
895,-63.074063558042454
69,-39.659132155752346
291,-207.08458288089312
131,-181.23580110265246
300,-34.190387276210565
424,-107.24709467504256
326,175.84352516320288
144,51.6787875650424
423,-20.235638235109306
580,-81.60040421224618
135,-145.14834687325768
450,-436.2741625128385
164,-224.19761900348163
28,50.68473006434681
773,114.11410962661667
193,274.2733301279022
388,65.29716191734897
852,-205.22879676167037
169,-184.75117635652026
705,108.70453669414263
140,27.673977740400872
173,-1.806216450399976
6,13.264559721381909
745,-7.309295909419546
478,270.222101739324
73,187.4540282923123
910,32.36924490878622
