,features/color,features/x,features/clarity,features/y,features/depth,features/z,features/carat,features/table,features/cut
26546,0,4.46,7,4.52,62.1,2.79,0.34,57.0,4
9159,0,4.37,2,4.33,62.1,2.7,0.31,56.0,4
14131,5,6.88,1,6.84,62.1,4.26,1.23,56.0,4
15757,3,6.56,3,6.59,60.1,3.95,1.04,59.0,3
24632,3,7.19,1,7.13,61.2,4.38,1.38,59.0,0
49828,0,5.02,1,5.05,64.2,3.23,0.51,56.0,1
38682,0,5.72,2,5.66,59.8,3.4,0.68,59.0,3
44604,2,5.67,6,5.57,63.3,3.56,0.7,62.0,2
11459,0,4.55,5,4.57,61.6,2.81,0.35,56.0,4
2495,2,5.06,3,5.09,62.5,3.17,0.5,56.0,2
39086,3,6.38,4,6.43,62.6,4.01,1.01,59.0,3
6428,2,6.29,1,6.26,59.8,3.75,0.91,58.0,3
12515,3,4.56,7,4.6,60.5,2.77,0.35,56.0,2
15262,1,6.32,1,6.38,63.5,4.03,1.01,55.0,2
39478,2,6.53,7,6.55,61.3,4.01,1.03,56.0,4
45355,3,5.13,5,5.11,60.9,3.12,0.5,61.0,3
24969,3,4.28,2,4.32,62.8,2.7,0.3,56.0,2
24157,2,4.37,5,4.39,62.1,2.72,0.32,55.0,4
30199,4,4.31,4,4.28,62.9,2.7,0.3,54.0,4
1826,5,4.3,1,4.33,61.0,2.63,0.3,59.0,4
29303,3,4.35,4,4.37,60.8,2.65,0.3,56.0,2
43243,6,5.72,2,5.75,61.6,3.53,0.71,57.0,4
4651,0,4.37,3,4.32,61.2,2.66,0.31,59.0,3
3910,2,4.38,3,4.35,62.1,2.71,0.32,57.0,4
47519,3,4.38,2,4.4,61.7,2.71,0.31,54.0,4
43761,6,8.18,1,8.04,61.7,5.0,2.03,61.0,3
20363,0,6.7,3,6.65,59.3,3.96,1.06,55.0,3
24986,0,4.74,2,4.79,63.0,3.0,0.41,53.0,4
38980,3,4.52,5,4.47,61.4,2.76,0.34,59.0,3
11065,2,6.83,2,6.79,59.6,4.06,1.13,57.0,4
47718,1,4.6,3,4.62,57.3,2.64,0.33,59.0,1
21719,2,5.11,1,5.07,62.7,3.19,0.52,57.0,3
2012,0,5.17,5,5.23,60.4,3.14,0.5,54.0,4
27554,2,5.48,3,5.44,60.2,3.29,0.59,57.0,4
7225,6,7.3,6,7.32,62.2,4.55,1.5,59.0,4
16582,1,6.3,2,6.37,63.5,4.02,1.02,55.0,2
36096,2,5.18,4,5.21,60.4,3.14,0.51,56.0,4
50668,2,5.19,2,5.16,62.0,3.21,0.52,54.0,4
6857,0,5.25,3,5.22,61.1,3.2,0.54,57.0,4
39639,0,4.68,4,4.64,62.0,2.89,0.38,55.0,4
34637,2,5.71,4,5.67,62.6,3.56,0.71,55.0,4
21203,5,4.55,3,4.58,61.1,2.79,0.35,57.0,4
49006,3,5.22,5,5.25,61.9,3.24,0.54,57.0,4
39598,4,5.27,7,5.3,61.5,3.25,0.54,54.0,4
41220,1,6.45,6,6.39,62.0,3.98,1.01,57.0,4
6407,2,4.6,3,4.54,61.9,2.83,0.37,58.0,3
219,1,5.01,3,4.81,65.4,3.21,0.5,57.0,0
18046,3,4.04,3,4.08,61.8,2.51,0.25,58.0,4
11400,0,4.48,6,4.46,61.7,2.76,0.34,56.0,4
45069,2,5.73,2,5.69,63.0,3.6,0.71,54.0,4
2289,2,4.31,6,4.35,62.1,2.69,0.3,55.0,4
20196,4,5.87,2,5.83,62.4,3.65,0.76,55.0,4
48053,4,5.79,1,5.76,63.0,3.64,0.75,58.0,3
34665,0,5.17,5,5.22,62.0,3.22,0.54,59.0,3
29922,3,8.19,1,8.12,63.4,5.17,2.1,58.0,2
48317,5,5.14,1,5.15,62.2,3.2,0.51,55.0,4
2342,3,6.68,3,6.71,62.6,4.19,1.15,58.0,3
3905,4,4.78,2,4.72,62.7,2.98,0.43,66.0,0
23158,1,6.04,3,6.03,61.8,3.73,0.83,57.0,4
16887,0,4.34,3,4.38,62.4,2.72,0.32,57.0,4
15944,4,6.6,2,6.55,60.2,3.96,1.06,59.0,2
