,price
26546,2287.0
9159,732.0
14131,5269.0
15757,6589.0
24632,4730.0
49828,1146.0
38682,1909.0
44604,3204.0
11459,882.0
2495,1436.0
39086,6499.0
6428,2564.0
12515,1001.0
15262,4363.0
39478,11365.0
45355,1935.0
24969,447.0
24157,800.0
30199,675.0
1826,405.0
29303,585.0
43243,1889.0
4651,942.0
3910,828.0
47519,446.0
43761,12078.0
20363,7479.0
24986,744.0
38980,995.0
11065,6391.0
47718,574.0
21719,1073.0
2012,2100.0
27554,1914.0
7225,9814.0
16582,5245.0
36096,1680.0
50668,1624.0
6857,1993.0
39639,1140.0
34637,2920.0
21203,509.0
49006,1981.0
39598,1981.0
41220,11154.0
6407,957.0
219,1397.0
18046,459.0
11400,1211.0
45069,2235.0
2289,802.0
20196,2371.0
48053,2295.0
34665,2505.0
29922,13007.0
48317,913.0
2342,6557.0
3905,984.0
23158,3625.0
16887,758.0
15944,4900.0
9978,5049.0
16617,2215.0
20088,2596.0
36300,1090.0
23048,2929.0
20060,694.0
45795,2581.0
51168,11032.0
43318,854.0
7184,1838.0
11943,6922.0
43521,6398.0
40258,1401.0
40248,4705.0
50529,1076.0
37752,11250.0
26477,12248.0
49436,1093.0
3064,1082.0
12505,2230.0
40759,2596.0
19052,844.0
44639,1362.0
50281,6653.0
32812,3629.0
36840,4737.0
42737,449.0
53550,703.0
35266,13865.0
53535,1752.0
30156,1140.0
42120,9189.0
10733,767.0
30467,776.0
24321,796.0
26244,929.0
33775,5231.0
1803,689.0
44533,628.0
1106,7823.0
33345,1195.0
30537,687.0
19235,16174.0
49709,7179.0
13819,2123.0
29681,11314.0
5181,533.0
32351,2516.0
323,11708.0
27064,2804.0
38446,1207.0
49965,470.0
18367,561.0
23623,1080.0
41720,1982.0
18434,6604.0
52332,776.0
36998,2252.0
30546,1814.0
16826,703.0
14757,1218.0
15188,17835.0
41033,411.0
15914,899.0
32064,638.0
19983,4106.0
40549,702.0
48837,1061.0
40567,4899.0
11538,3420.0
2744,14383.0
48920,6586.0
950,3127.0
20722,14112.0
4062,10337.0
3510,2058.0
46492,5820.0
11911,8109.0
14181,2703.0
33192,589.0
49866,2040.0
23978,2052.0
38286,399.0
40557,14364.0
40044,11021.0
46657,1289.0
1068,6779.0
21479,882.0
40403,2829.0
6524,8888.0
40682,1056.0
34074,1187.0
28275,6777.0
29474,1915.0
21268,8772.0
13674,9516.0
12348,2962.0
43431,7364.0
50783,2359.0
47543,12545.0
14359,1963.0
21937,596.0
32773,14426.0
10202,860.0
42053,8094.0
30404,1229.0
44055,2686.0
29383,4207.0
28332,5145.0
34154,5358.0
10491,1123.0
15191,3270.0
1635,14544.0
53928,6098.0
42620,1818.0
8407,2391.0
48086,2022.0
45915,2239.0
52933,507.0
46414,3609.0
43252,3347.0
7569,827.0
40155,1166.0
45030,2657.0
22154,419.0
22142,4227.0
1318,4407.0
39530,13595.0
15598,14037.0
802,9486.0
12335,2688.0
28929,5997.0
30017,9831.0
8337,658.0
34780,5989.0
29671,924.0
17406,663.0
47797,1023.0
13151,2053.0
772,1698.0
28421,2265.0
39728,3262.0
8677,8524.0
4385,7345.0
26676,4629.0
22638,1377.0
37666,1264.0
17928,678.0
9942,765.0
41103,2911.0
5040,2215.0
18382,4011.0
50688,743.0
5959,10398.0
36014,8213.0
23680,6882.0
26914,1371.0
22902,684.0
13602,3478.0
53352,4680.0
37581,2078.0
25889,1678.0
37963,3724.0
12315,6803.0
41852,662.0
7402,11189.0
42411,1754.0
19839,5342.0
25971,7175.0
35942,689.0
50162,814.0
3944,10658.0
49059,987.0
7305,11988.0
35543,956.0
52131,568.0
8358,664.0
34105,3340.0
7563,485.0
30230,6048.0
43224,11279.0
41202,1569.0
53639,1238.0
14458,1821.0
32589,5759.0
13858,4141.0
3231,1210.0
41931,10790.0
26960,954.0
35990,3198.0
29875,1050.0
46821,12846.0
46898,3787.0
200,17294.0
15142,753.0
43812,3471.0
40022,8271.0
29925,1233.0
18865,3886.0
7329,3839.0
52169,1151.0
10936,2691.0
37424,548.0
52783,421.0
38160,13828.0
37379,561.0
28880,10439.0
13631,12598.0
3755,814.0
36342,4751.0
36540,6996.0
41943,811.0
35275,8225.0
23537,1659.0
30655,1650.0
43008,1081.0
20757,4662.0
4296,10030.0
15538,1628.0
41037,12156.0
4750,2388.0
10840,847.0
40440,973.0
50440,571.0
28303,702.0
48013,3049.0
32714,514.0
51665,7548.0
49031,9704.0
50916,2969.0
9254,6962.0
21439,579.0
22514,2459.0
52552,732.0
4556,1799.0
9531,10003.0
11910,828.0
33600,5174.0
18668,4134.0
50291,2262.0
18965,1167.0
44498,3882.0
24208,865.0
53697,4502.0
23217,1010.0
18995,1359.0
857,1682.0
40965,3387.0
6633,4209.0
35975,9761.0
29760,8709.0
35915,895.0
15020,1013.0
42311,9248.0
11917,1551.0
8777,1026.0
5533,10455.0
42436,15718.0
18730,1596.0
40151,6818.0
51133,507.0
44026,828.0
23875,6663.0
1877,4456.0
33532,446.0
41929,5766.0
10512,9573.0
13524,842.0
10115,5806.0
41129,958.0
36334,14525.0
42817,13324.0
15943,5547.0
11902,1021.0
50844,3839.0
6605,10659.0
26542,6640.0
24699,918.0
25334,573.0
967,9738.0
49363,2093.0
45502,3464.0
747,5486.0
36928,6814.0
32143,2641.0
1032,2652.0
17549,9343.0
44986,9032.0
38719,1973.0
52133,485.0
50908,561.0
30864,4605.0
50434,18678.0
5270,7127.0
4283,1407.0
51729,778.0
38335,2394.0
11281,7451.0
11789,1636.0
36204,613.0
21965,4485.0
6758,1049.0
52459,626.0
4903,903.0
6693,2318.0
9985,840.0
28971,3411.0
50210,3056.0
53172,723.0
35821,3750.0
6935,6776.0
19409,3941.0
19315,5879.0
31031,14444.0
27694,1746.0
18967,11147.0
28065,4496.0
20442,1052.0
22577,1787.0
47311,2105.0
36796,1635.0
3847,833.0
51229,910.0
50219,1746.0
14339,805.0
3075,11769.0
51728,6018.0
13506,1819.0
41488,6838.0
38794,3599.0
11667,17094.0
7849,8616.0
11098,3465.0
44266,10927.0
3563,4766.0
41305,4564.0
9672,2628.0
50341,4899.0
44342,4532.0
3766,2040.0
14403,3669.0
45107,725.0
2029,1055.0
19219,552.0
16732,863.0
47939,4355.0
7193,4047.0
24757,1200.0
32669,1052.0
35413,4752.0
39306,2444.0
9656,1892.0
42433,2319.0
24095,18193.0
43725,4469.0
47485,15721.0
24471,1229.0
51748,4072.0
33563,624.0
2627,540.0
38132,5280.0
16109,13563.0
33510,4254.0
2499,2686.0
9086,5699.0
26810,8340.0
40909,2592.0
38063,530.0
39436,4642.0
724,5741.0
47097,1219.0
3855,752.0
15759,1097.0
12340,730.0
36979,2030.0
32474,2527.0
9625,2885.0
31866,2318.0
53666,17357.0
32149,2129.0
6330,1179.0
21420,3720.0
8929,752.0
36294,18055.0
8220,2805.0
27971,506.0
28739,10685.0
22657,3801.0
29913,906.0
40939,15696.0
17452,665.0
37761,1043.0
45614,7389.0
14326,7756.0
20424,2491.0
3777,2440.0
21771,1043.0
39317,4561.0
12692,723.0
13519,2852.0
15726,8341.0
3790,976.0
28922,10886.0
47728,5699.0
37730,10654.0
4237,748.0
46160,3887.0
15302,6617.0
4471,1098.0
51286,3170.0
3973,700.0
32061,3852.0
3356,1196.0
26021,2623.0
26729,2913.0
29101,1579.0
36926,2160.0
21046,10122.0
2662,1053.0
28530,1417.0
5102,523.0
5548,6013.0
31277,1590.0
11988,13229.0
2789,6546.0
48740,1771.0
37764,1141.0
51515,743.0
43136,5534.0
27544,4373.0
29827,1932.0
3548,4586.0
13451,4140.0
6082,5226.0
46457,776.0
10530,2351.0
30335,1409.0
44575,526.0
15590,2098.0
827,430.0
40632,545.0
43544,554.0
33871,2326.0
48018,868.0
41295,6762.0
37072,2636.0
21753,4458.0
12038,5127.0
13484,3607.0
41165,10314.0
19474,5010.0
28142,8736.0
20984,4011.0
51699,824.0
45920,4493.0
8092,854.0
52179,559.0
3452,625.0
51524,2327.0
14366,14249.0
33634,5759.0
36190,1698.0
35521,2079.0
17712,489.0
13912,8602.0
41315,989.0
18379,899.0
14427,2376.0
4337,4129.0
10829,557.0
31999,8003.0
2245,3856.0
52758,485.0
21428,6702.0
26047,420.0
47483,829.0
34757,842.0
26982,977.0
10557,5544.0
53853,626.0
27008,6906.0
48729,3997.0
18501,6036.0
16342,8521.0
11863,2320.0
27562,8154.0
9224,814.0
43917,1239.0
23784,4695.0
18598,914.0
18923,1750.0
38240,4155.0
36400,4879.0
10835,2083.0
50830,16137.0
30422,1607.0
51727,8796.0
22498,918.0
6920,5258.0
2304,2306.0
45621,2254.0
7974,2984.0
51872,1303.0
1653,391.0
40016,10331.0
42881,2495.0
34690,2999.0
43314,9704.0
7117,547.0
1243,12196.0
37115,16819.0
51963,1154.0
52424,3296.0
7679,2649.0
16404,1261.0
10399,666.0
39659,4289.0
5031,957.0
26459,3301.0
33068,5497.0
11297,3633.0
13325,5014.0
31203,810.0
11483,11859.0
5535,9290.0
42474,2942.0
46035,707.0
45983,16960.0
52835,980.0
48110,2982.0
31597,2351.0
12830,684.0
11661,4381.0
33098,608.0
15551,746.0
14710,678.0
29172,5051.0
36699,2515.0
23200,3652.0
41772,608.0
44293,2762.0
25932,14592.0
26621,2475.0
15278,1264.0
30370,816.0
26747,1340.0
15633,593.0
16420,5364.0
16158,2538.0
16224,4060.0
42767,5221.0
19031,504.0
42094,4126.0
29180,8631.0
7385,12844.0
7956,1758.0
41284,7092.0
41529,2777.0
18188,362.0
43413,912.0
8206,743.0
33577,2846.0
38779,7812.0
3568,593.0
16785,4974.0
17834,5266.0
8223,2825.0
34706,2528.0
9924,4090.0
50474,883.0
28189,732.0
40290,706.0
46388,698.0
11331,877.0
14049,714.0
49888,3011.0
7947,10232.0
33288,499.0
1204,2753.0
12510,1690.0
40979,6532.0
23349,4740.0
46631,1141.0
37993,1163.0
38186,1548.0
25109,6354.0
47669,2823.0
10342,878.0
32460,2422.0
24219,1084.0
5225,810.0
1544,8820.0
23073,15217.0
20696,4989.0
48002,12108.0
49978,11133.0
1395,3895.0
29279,8167.0
51279,5101.0
25137,3206.0
26413,3112.0
38435,3409.0
4644,4321.0
21712,631.0
24924,2100.0
34507,1892.0
28298,1767.0
23873,1819.0
52608,705.0
36112,695.0
51760,6000.0
47778,666.0
33679,14603.0
48208,829.0
52685,854.0
34232,3908.0
37119,616.0
41694,6157.0
28051,1060.0
31448,8685.0
11790,9548.0
25845,3054.0
49327,1698.0
30884,9408.0
3507,524.0
45119,1915.0
41778,10922.0
26786,645.0
31035,3464.0
17662,7688.0
34767,2275.0
39583,1585.0
6027,2088.0
48527,3082.0
25133,1351.0
39872,834.0
35532,1107.0
34601,728.0
5323,9707.0
4009,1002.0
45074,581.0
40457,789.0
28309,7152.0
28632,8705.0
47268,645.0
18552,1902.0
4543,2536.0
42816,2457.0
40196,1333.0
5595,4435.0
22137,628.0
27893,7508.0
50332,473.0
8684,840.0
17086,968.0
42925,4661.0
16050,15013.0
41371,3989.0
7449,901.0
53885,4252.0
9036,505.0
25698,1569.0
19117,1149.0
35189,2189.0
43599,2048.0
33072,5098.0
11582,3644.0
4306,4458.0
31706,5160.0
34281,3472.0
44195,1289.0
18183,11540.0
12701,2075.0
36871,2513.0
43641,684.0
31851,8076.0
29747,8778.0
52057,3173.0
8994,722.0
51947,650.0
6600,1675.0
2238,2860.0
7861,3792.0
37364,3394.0
24156,12756.0
14564,720.0
19883,4140.0
14487,550.0
9693,2843.0
48618,758.0
6552,10080.0
35795,4588.0
53711,4513.0
17418,10090.0
23176,5107.0
21994,3207.0
33733,537.0
2300,4580.0
9287,589.0
53667,3545.0
9303,905.0
14513,2088.0
7173,10939.0
6708,6431.0
31326,698.0
15999,3644.0
15815,739.0
27857,1654.0
24279,2919.0
4589,2797.0
52250,2839.0
19274,596.0
8592,3535.0
35171,2982.0
30513,737.0
7809,945.0
25299,1262.0
50757,942.0
23272,526.0
49464,1723.0
9661,13286.0
35118,3616.0
25490,2379.0
10598,2869.0
39956,5174.0
48964,5071.0
14585,840.0
45363,857.0
33018,5969.0
17768,3827.0
3128,15827.0
41604,7619.0
21861,6597.0
20305,3850.0
17031,596.0
36763,3613.0
46969,4958.0
2824,5819.0
37092,1651.0
33101,1661.0
24666,4782.0
1647,4259.0
6206,957.0
45282,6080.0
33559,867.0
16897,6480.0
45986,1568.0
5219,14603.0
31864,9095.0
38130,2132.0
10463,2530.0
49989,711.0
52032,2513.0
20277,700.0
11035,3649.0
16188,5669.0
740,3142.0
53845,485.0
12051,5433.0
17277,3125.0
20761,1015.0
41558,6255.0
37667,4173.0
13005,1586.0
33015,645.0
12400,579.0
24990,1793.0
22269,5701.0
17345,2362.0
11034,849.0
23056,5564.0
50837,5386.0
37185,3640.0
51798,907.0
40503,1436.0
36985,3557.0
49203,1743.0
33321,1700.0
42984,1439.0
25442,2851.0
5766,1112.0
31302,2423.0
21296,2070.0
27047,6135.0
19783,4062.0
50875,542.0
11967,1024.0
16670,1155.0
8305,942.0
2848,4207.0
44529,911.0
21418,3666.0
32516,1422.0
50151,6727.0
32832,5019.0
36227,646.0
6863,844.0
32111,810.0
25111,2306.0
48105,2564.0
15697,4121.0
12037,1013.0
44984,1447.0
33112,3638.0
15747,1000.0
15694,378.0
24025,4969.0
40244,5424.0
53472,906.0
31990,8736.0
17730,1448.0
29050,3625.0
42169,1158.0
11121,4037.0
43826,736.0
20155,829.0
26433,911.0
18619,2200.0
28566,876.0
52259,5996.0
30006,582.0
19437,2753.0
9830,6713.0
44679,5055.0
23734,603.0
25450,4229.0
13251,1728.0
28426,10832.0
41215,579.0
28898,683.0
9666,9116.0
1977,1737.0
34920,505.0
9713,4751.0
16152,7495.0
5940,5384.0
14614,984.0
39584,3267.0
39337,8268.0
36147,1268.0
29060,6942.0
8278,827.0
44154,1668.0
25361,4751.0
20735,3311.0
32797,1166.0
44467,1778.0
14299,909.0
34181,4256.0
6592,1179.0
46740,1020.0
22309,522.0
49516,584.0
5303,4739.0
30437,4124.0
52830,945.0
13253,696.0
31708,18178.0
18086,1079.0
27629,4732.0
23969,2133.0
37786,666.0
36399,3866.0
34476,14691.0
12725,1033.0
52356,3125.0
27063,6814.0
1052,5866.0
25541,1173.0
1984,1723.0
38306,1341.0
10798,926.0
16338,1345.0
23943,4299.0
14552,2352.0
51618,5868.0
7738,10641.0
37741,12082.0
6459,13655.0
18349,5633.0
12959,886.0
36429,13849.0
18960,12549.0
23210,4075.0
3945,2273.0
20468,2296.0
940,605.0
33784,2238.0
20314,2839.0
39476,695.0
41442,1668.0
38473,2639.0
45551,6081.0
17353,5445.0
14880,872.0
23329,3211.0
18783,540.0
45857,923.0
34981,5056.0
34879,11711.0
44674,10274.0
47296,1378.0
39648,467.0
24606,4989.0
6675,4529.0
43563,1806.0
24167,1752.0
675,931.0
31512,680.0
29276,1878.0
26961,775.0
43839,3270.0
23920,427.0
34002,5207.0
46561,5550.0
7745,579.0
47453,6669.0
22989,14240.0
16765,1080.0
33669,11132.0
35463,547.0
17203,1279.0
24635,912.0
7705,2779.0
46077,5156.0
36853,9282.0
42195,628.0
27308,7187.0
43763,850.0
41889,7486.0
30463,5262.0
52463,2027.0
3391,18823.0
23037,1746.0
16313,8689.0
48026,5759.0
25088,11120.0
52873,6246.0
1521,2215.0
3076,452.0
30196,3387.0
18856,1786.0
20280,382.0
4047,389.0
1554,9176.0
33504,816.0
35894,584.0
4915,738.0
29772,5937.0
8582,1412.0
43230,8977.0
16140,16239.0
6312,9527.0
42394,2306.0
47262,935.0
50586,4915.0
20066,599.0
10591,13530.0
10229,4592.0
25082,6163.0
45809,969.0
14192,16613.0
34657,417.0
44492,6415.0
17180,6840.0
45294,689.0
18265,1666.0
48177,880.0
3416,504.0
14998,14597.0
32931,3676.0
516,4229.0
48066,4026.0
37781,5939.0
44770,2386.0
29775,2056.0
8608,471.0
28058,579.0
15291,599.0
28819,990.0
23630,802.0
24764,684.0
5991,10581.0
38085,1143.0
13471,492.0
50737,526.0
7001,2351.0
51713,4609.0
20356,666.0
24457,489.0
13192,6225.0
8379,3046.0
24560,564.0
13972,4077.0
20915,2198.0
36479,4199.0
31652,12378.0
36652,911.0
15956,10161.0
22206,2929.0
27951,13363.0
37345,7744.0
98,5871.0
37059,674.0
35072,1651.0
44186,1269.0
36761,773.0
38852,4327.0
29291,1123.0
14402,4770.0
12966,4537.0
31046,1754.0
47129,407.0
32236,972.0
18914,13919.0
2388,1274.0
48718,4394.0
30764,6302.0
38434,8846.0
12181,7227.0
5426,596.0
11715,1697.0
37315,4355.0
17816,3360.0
17002,1917.0
8276,1667.0
7911,12916.0
30014,1240.0
17714,4372.0
26317,988.0
9289,1873.0
38829,3871.0
10539,3625.0
53724,3300.0
13791,1035.0
12472,942.0
3753,7673.0
18057,432.0
48252,2137.0
9920,810.0
46918,2141.0
24551,2112.0
29786,1882.0
46780,2964.0
2020,4859.0
36837,9032.0
49245,4707.0
46677,6115.0
12481,506.0
17599,13037.0
35827,7980.0
41414,2389.0
34443,16545.0
10870,3304.0
8504,658.0
32823,822.0
13540,4355.0
22654,5324.0
24135,732.0
17530,1574.0
49235,1294.0
42853,13007.0
5893,945.0
52832,567.0
29462,2656.0
6350,658.0
22955,4939.0
35963,4155.0
12229,680.0
2507,675.0
49629,1608.0
17663,675.0
26792,13097.0
50472,1079.0
38697,1167.0
4253,720.0
5742,6468.0
39835,2354.0
37454,605.0
27203,2201.0
33003,1777.0
14769,3763.0
49665,5821.0
953,4211.0
31586,5523.0
10271,624.0
49792,1995.0
35887,2005.0
47407,12342.0
14902,1841.0
39912,7291.0
42517,11667.0
4012,1291.0
10079,15773.0
38895,1792.0
25962,1110.0
49756,2989.0
2658,949.0
6339,2737.0
38593,3170.0
21750,1947.0
22962,2125.0
25036,684.0
24716,2352.0
21476,435.0
17049,876.0
4361,462.0
9401,8637.0
2666,1323.0
48087,4265.0
18303,741.0
325,675.0
9935,4312.0
22134,1100.0
32864,402.0
19901,2823.0
48215,9243.0
1500,5783.0
18849,2616.0
32024,732.0
20279,429.0
27183,5211.0
3893,539.0
25505,706.0
27896,704.0
41734,4240.0
847,471.0
34099,1758.0
16750,1685.0
21569,6999.0
7778,680.0
22544,961.0
17812,2512.0
33432,6403.0
11014,1617.0
33011,4347.0
51372,2782.0
1096,16256.0
49170,1723.0
50386,1013.0
6757,1715.0
34526,1783.0
19499,427.0
25715,3996.0
28130,663.0
19537,575.0
19528,6342.0
36275,4762.0
45296,1323.0
7290,526.0
15418,380.0
37352,5923.0
51703,605.0
23602,1406.0
14651,471.0
49702,2726.0
10284,1387.0
20315,2789.0
8140,7839.0
39561,810.0
43238,910.0
46615,3858.0
42625,827.0
17546,8732.0
18911,435.0
32379,2360.0
22971,1399.0
31592,1890.0
27036,4956.0
2290,9090.0
10318,5925.0
39853,4578.0
43538,3067.0
10171,544.0
11550,2275.0
30780,3797.0
29403,12317.0
29212,666.0
45036,1324.0
8132,12545.0
47193,6157.0
28081,878.0
30,10641.0
