,0,1,Propertycount,2,3,4,5,6,7,8,9,10,Bedroom2,Distance,Landsize,Postcode,Bathroom,index,Lattitude,Rooms,Car,Longtitude
9597,0.0,0.0,5629.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,11.7,599.0,3033.0,2.0,9598,-37.73514,4,2.0,144.87143999999995
5646,0.0,0.0,14887.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.3,0.0,3141.0,1.0,5646,-37.8406,2,1.0,145.0035
3307,1.0,0.0,2674.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.4,521.0,3081.0,2.0,3307,-37.738,4,2.0,145.0374
4132,0.0,0.0,6232.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,6.9,435.0,3039.0,1.0,4132,-37.7692,2,2.0,144.9042
2709,0.0,0.0,7570.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,6.4,0.0,3011.0,1.0,2709,-37.7992,2,1.0,144.8961
3131,0.0,0.0,11308.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.6,218.0,3122.0,1.0,3131,-37.8214,3,0.0,145.0437
7503,0.0,0.0,6795.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,0.0,3204.0,2.0,7503,-37.9329,2,1.0,145.0393
6220,1.0,0.0,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,13.8,226.0,3107.0,1.0,6220,-37.7567,3,1.0,145.1209
5064,0.0,0.0,21650.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.2,310.0,3073.0,1.0,5064,-37.7288,2,3.0,145.0224
467,0.0,0.0,4502.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,10.5,873.0,3034.0,3.0,467,-37.7609,4,2.0,144.8639
9572,0.0,0.0,11308.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.3,1583.0,3122.0,1.0,9573,-37.81857,2,1.0,145.01703999999995
8468,0.0,0.0,8870.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.5,948.0,3071.0,1.0,8469,-37.7577,1,1.0,145.0151
2913,0.0,0.0,8870.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,3056.0,3046.0,1.0,2913,-37.7042,2,1.0,144.9214
7299,0.0,0.0,2185.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,13.9,743.0,3020.0,1.0,7299,-37.7817,3,3.0,144.8159
106,0.0,0.0,3280.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.3,238.0,3206.0,1.0,106,-37.8461,3,1.0,144.9528
8638,0.0,0.0,5263.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.2,180.0,3031.0,2.0,8639,-37.7973,3,1.0,144.9208
11326,0.0,0.0,8322.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,24.7,540.0,3175.0,1.0,11328,-37.95661,3,2.0,145.2191
6884,0.0,0.0,588.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,9.8,470.0,3040.0,2.0,6884,-37.7522,3,2.0,144.88299999999995
8679,0.0,0.0,7217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.6,1816.0,3142.0,1.0,8680,-37.8389,2,1.0,145.0141
411,0.0,0.0,2894.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,12.2,372.0,3147.0,3.0,411,-37.8716,4,2.0,145.0999
6013,0.0,0.0,4217.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,13.3,575.0,3020.0,1.0,6013,-37.7748,3,2.0,144.833
11102,0.0,0.0,3873.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.4,126.0,3012.0,2.0,11104,-37.78458,2,1.0,144.88106000000005
10349,0.0,0.0,13830.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,18.4,537.0,3029.0,1.0,10350,-37.87016,3,2.0,144.70606
9775,0.0,0.0,6567.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.3,150.0,3032.0,2.0,9776,-37.77639,3,1.0,144.91666
3728,0.0,0.0,3873.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,9.2,305.0,3012.0,1.0,3728,-37.7858,3,2.0,144.8834
11550,0.0,0.0,6543.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,6.3,358.0,3013.0,1.0,11552,-37.82116,3,1.0,144.89181000000005
11687,1.0,0.0,15321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,16.7,365.0,3150.0,2.0,11689,-37.88599,3,2.0,145.17031
11295,0.0,0.0,962.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,6.4,0.0,3012.0,1.0,11297,-37.82212,2,1.0,144.84476999999995
8723,0.0,0.0,5132.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,9.4,672.0,3025.0,1.0,8724,-37.8265,3,2.0,144.84386
10802,1.0,0.0,7785.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,19.9,1016.0,3134.0,2.0,10804,-37.78372,4,2.0,145.25311000000005
4680,0.0,0.0,7485.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.9,507.0,3044.0,1.0,4680,-37.7253,3,1.0,144.9324
5920,0.0,0.0,3284.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,9.7,908.0,3041.0,2.0,5920,-37.735,4,2.0,144.9203
4279,0.0,0.0,5498.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,8.4,595.0,3015.0,1.0,4279,-37.8394,3,2.0,144.8669
9649,0.0,0.0,7113.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,18.8,664.0,3170.0,1.0,9650,-37.92773,3,1.0,145.16984
3037,0.0,0.0,5454.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,13.7,615.0,3188.0,3.0,3037,-37.9429,4,4.0,145.0072
1862,0.0,0.0,3582.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,13.6,288.0,3148.0,3.0,1862,-37.8801,4,2.0,145.1051
12142,1.0,0.0,3619.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,19.9,651.0,3134.0,3.0,12144,-37.79682,5,2.0,145.21731
9214,0.0,0.0,1808.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,6.4,335.0,3012.0,1.0,9215,-37.80742,3,1.0,144.88297
11783,1.0,0.0,7785.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,19.9,918.0,3134.0,2.0,11785,-37.794,3,2.0,145.24636
2360,0.0,0.0,9264.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,3040.0,1.0,2360,-37.7569,2,3.0,144.9256
7724,0.0,0.0,5051.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.3,0.0,3162.0,1.0,7725,-37.8937,2,1.0,145.0137
4046,1.0,0.0,2079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.8,255.0,3127.0,2.0,4046,-37.8192,3,2.0,145.111
3887,0.0,0.0,8801.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.2,310.0,3145.0,2.0,3887,-37.8733,3,1.0,145.0883
2406,0.0,0.0,9264.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,438.0,3040.0,1.0,2406,-37.754,3,0.0,144.92600000000004
29,0.0,0.0,4019.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.5,98.0,3067.0,2.0,29,-37.8005,2,2.0,144.9952
7135,0.0,0.0,4442.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.1,700.0,3163.0,1.0,7135,-37.8887,3,1.0,145.0718
10014,0.0,0.0,14577.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.4,170.0,3072.0,1.0,10015,-37.73698,3,1.0,144.98686
5353,0.0,0.0,14949.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.6,58.0,3121.0,3.0,5353,-37.8139,3,1.0,145.0012
568,0.0,0.0,5682.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,9.7,190.0,3103.0,2.0,568,-37.8164,3,2.0,145.0846
5359,0.0,0.0,14949.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.6,263.0,3121.0,2.0,5359,-37.8261,4,1.0,145.0127
8403,0.0,0.0,3284.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,9.7,533.0,3041.0,2.0,8404,-37.7189,5,2.0,144.9044
