,Price
9597,1120000.0
5646,550000.0
3307,715000.0
4132,956000.0
2709,370000.0
3131,1420000.0
7503,620000.0
6220,766000.0
5064,498000.0
467,1100000.0
9572,762000.0
8468,300000.0
2913,320500.0
7299,791000.0
106,2000000.0
8638,1190000.0
11326,618500.0
6884,1110000.0
8679,655000.0
411,1200000.0
6013,607000.0
11102,642500.0
10349,442500.0
9775,1010000.0
3728,725000.0
11550,1042000.0
11687,1000000.0
11295,372100.0
8723,900000.0
10802,1725000.0
4680,690000.0
5920,1370000.0
4279,1040000.0
9649,757000.0
3037,2000000.0
1862,890000.0
12142,850000.0
9214,1180000.0
11783,882500.0
2360,370000.0
7724,630000.0
4046,1200000.0
3887,960000.0
2406,770000.0
29,1135000.0
7135,1420000.0
10014,691000.0
5353,900000.0
568,1385000.0
5359,1591000.0
8403,910000.0
1245,1655000.0
8642,528000.0
5736,740000.0
1458,1585000.0
7627,690000.0
1835,1160500.0
316,1340000.0
108,4735000.0
3344,648000.0
11488,1175000.0
2742,1735000.0
3621,672000.0
2984,918000.0
9174,627000.0
7388,420000.0
11195,940000.0
11942,560000.0
7383,845000.0
6518,1000000.0
7762,990000.0
10224,665000.0
3919,410000.0
6606,1910000.0
2777,845000.0
11475,596000.0
4843,841000.0
9898,730000.0
2760,550000.0
8102,2300000.0
8028,700000.0
973,1560000.0
5664,523000.0
11883,1600000.0
7116,200000.0
10389,353000.0
10926,1680000.0
7608,1450000.0
6836,1010000.0
1374,1180000.0
11757,1335000.0
8261,1200000.0
3219,370000.0
11199,625000.0
5508,1275000.0
10,700000.0
7248,1001000.0
2616,865500.0
1426,385000.0
9864,902000.0
8821,525000.0
9742,558000.0
718,867000.0
5460,430000.0
3404,1223500.0
5894,1635000.0
11290,950000.0
735,725000.0
4921,914000.0
8750,1305000.0
9306,910000.0
10153,860000.0
2140,1400000.0
4441,1900000.0
6794,957000.0
909,1197000.0
6137,680000.0
496,1193000.0
9315,540000.0
7063,3850000.0
9053,1435000.0
8387,350000.0
9964,920000.0
1206,1530000.0
4684,721000.0
4449,1300000.0
10235,1451000.0
1195,1700000.0
6501,1560000.0
5617,360500.0
7302,840000.0
3297,620000.0
7633,670000.0
10816,600000.0
10258,1980000.0
288,1850000.0
8990,480000.0
5579,467500.0
5494,780000.0
3955,1215000.0
8225,958000.0
11710,472000.0
388,3510000.0
836,1550000.0
7566,1002500.0
6161,1750000.0
280,567000.0
7603,1385000.0
7092,610000.0
3372,855000.0
6070,510000.0
1112,2275000.0
2609,775000.0
10507,1430000.0
10218,720000.0
10028,355000.0
5532,2633000.0
10145,2385000.0
12060,444000.0
267,872000.0
7054,1076000.0
1598,805000.0
5125,1700000.0
6159,600000.0
11676,665000.0
3492,735000.0
10702,600000.0
7695,1290000.0
5113,500000.0
4112,1435000.0
10095,650000.0
1379,947000.0
10645,1663000.0
9620,420000.0
416,761000.0
9191,485000.0
4385,885000.0
1962,485000.0
620,1388800.0
1703,1275000.0
8751,1100000.0
4740,1070000.0
10368,3200500.0
5202,925000.0
6496,1200000.0
8509,1290000.0
6559,380000.0
2516,600000.0
9375,480000.0
1190,2840000.0
9293,1900000.0
10131,1350000.0
7306,430000.0
5155,668000.0
6598,1350000.0
4220,1220000.0
9978,1250000.0
1506,1590000.0
11527,1214000.0
10577,1575000.0
10415,700000.0
4139,831000.0
11563,1360000.0
9137,540000.0
11904,495000.0
794,1115000.0
730,420000.0
7464,1435000.0
8543,1425000.0
3851,2800000.0
10066,632500.0
2626,950000.0
9924,480000.0
8299,610000.0
1745,1450000.0
3154,450000.0
4793,950000.0
5245,718500.0
11910,456000.0
6939,700500.0
1199,880000.0
9845,996000.0
11020,545000.0
2952,825000.0
5601,510000.0
10976,555000.0
1889,1435000.0
8013,1740000.0
7826,700000.0
11823,530000.0
32,1290000.0
8331,690000.0
8903,1415000.0
8178,601000.0
5707,260800.0
11281,1384000.0
9511,1460000.0
8739,1220000.0
10158,2545000.0
8858,1020000.0
5261,582000.0
6134,1864000.0
6073,825000.0
4246,1280000.0
12041,540000.0
8871,480000.0
4520,358500.0
1486,890000.0
605,1150000.0
8398,482000.0
7297,560000.0
1533,1350000.0
2651,585000.0
4862,2385000.0
2858,1390000.0
5517,1032000.0
6526,1000000.0
4415,990000.0
1330,1700000.0
3694,1610000.0
957,780000.0
3855,370000.0
5438,1212500.0
6889,687000.0
4123,870000.0
12000,1875000.0
1660,1850000.0
1026,610000.0
8452,1750000.0
5196,450000.0
1247,1389000.0
11782,685000.0
655,1550000.0
623,2910000.0
7692,1775000.0
6149,1350000.0
3643,2240000.0
